课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
MAR1071,习近平新时代中国特色社会主义思想概论,习近平新时代中国特色社会主义思想概论导论,习近平新时代中国特色社会主义思想创立的时代背景,MAR1071_习近平新时代中国特色社会主义思想概论,1,4,
MAR1071,习近平新时代中国特色社会主义思想概论,习近平新时代中国特色社会主义思想概论导论,习近平新时代中国特色社会主义思想是“两个结合”的重大成果,MAR1071_习近平新时代中国特色社会主义思想概论,4,5,
MAR1071,习近平新时代中国特色社会主义思想概论,习近平新时代中国特色社会主义思想概论导论,习近平新时代中国特色社会主义思想是完整的科学体系,MAR1071_习近平新时代中国特色社会主义思想概论,6,8,
MAR1071,习近平新时代中国特色社会主义思想概论,习近平新时代中国特色社会主义思想概论导论,习近平新时代中国特色社会主义思想的历史地位,MAR1071_习近平新时代中国特色社会主义思想概论,9,10,
MAR1071,习近平新时代中国特色社会主义思想概论,习近平新时代中国特色社会主义思想概论导论,深刻领悟“两个确立”的决定性意义,MAR1071_习近平新时代中国特色社会主义思想概论,10,11,
MAR1071,习近平新时代中国特色社会主义思想概论,习近平新时代中国特色社会主义思想概论导论,学好用好习近平新时代中国特色社会主义思想,MAR1071_习近平新时代中国特色社会主义思想概论,12,13,
MAR1071,习近平新时代中国特色社会主义思想概论,新时代坚持和发展中国特色社会主义思想,方向决定道路，道路决定命运,MAR1071_习近平新时代中国特色社会主义思想概论,15,22,
MAR1071,习近平新时代中国特色社会主义思想概论,新时代坚持和发展中国特色社会主义思想,中国特色社会主义进入新时代,MAR1071_习近平新时代中国特色社会主义思想概论,22,29,
MAR1071,习近平新时代中国特色社会主义思想概论,新时代坚持和发展中国特色社会主义思想,新时代坚持和发展中国特色社会主义要一以贯之,MAR1071_习近平新时代中国特色社会主义思想概论,29,34,
MAR1071,习近平新时代中国特色社会主义思想概论,以中国式现代化全面推进中华民族伟大复兴,中华民族近代以来伟大的梦想,MAR1071_习近平新时代中国特色社会主义思想概论,35,41,
MAR1071,习近平新时代中国特色社会主义思想概论,以中国式现代化全面推进中华民族伟大复兴,中国式现代化是强国建设、民族复兴的唯一正确道路,MAR1071_习近平新时代中国特色社会主义思想概论,41,49,
MAR1071,习近平新时代中国特色社会主义思想概论,以中国式现代化全面推进中华民族伟大复兴,推进中国式现代化行稳至远,MAR1071_习近平新时代中国特色社会主义思想概论,49,54,
MAR1071,习近平新时代中国特色社会主义思想概论,坚持党的全面领导,中国共产党领导是中国特色社会主义本质的特征,MAR1071_习近平新时代中国特色社会主义思想概论,57,63,
MAR1071,习近平新时代中国特色社会主义思想概论,坚持党的全面领导,坚持党对一切工作的领导,MAR1071_习近平新时代中国特色社会主义思想概论,63,68,
MAR1071,习近平新时代中国特色社会主义思想概论,坚持党的全面领导,健全和完善党的领导制度体系,MAR1071_习近平新时代中国特色社会主义思想概论,69,72,
MAR1071,习近平新时代中国特色社会主义思想概论,坚持以人民为中心,江山就是人民，人民就是江山,MAR1071_习近平新时代中国特色社会主义思想概论,74,79,
MAR1071,习近平新时代中国特色社会主义思想概论,坚持以人民为中心,坚持人民至上,MAR1071_习近平新时代中国特色社会主义思想概论,80,83,
MAR1071,习近平新时代中国特色社会主义思想概论,坚持以人民为中心,全面落实以人民为中心的发展思想,MAR1071_习近平新时代中国特色社会主义思想概论,84,89,
MAR1071,习近平新时代中国特色社会主义思想概论,全面深化改革,改革开放是决定当代中国命运的关键一招,MAR1071_习近平新时代中国特色社会主义思想概论,91,97,
MAR1071,习近平新时代中国特色社会主义思想概论,全面深化改革,统筹推进各领域各方面改革开放,MAR1071_习近平新时代中国特色社会主义思想概论,97,105,
MAR1071,习近平新时代中国特色社会主义思想概论,全面深化改革,将改革开放进行到底,MAR1071_习近平新时代中国特色社会主义思想概论,105,110,
MAR1071,习近平新时代中国特色社会主义思想概论,推动高质量发展,完整、准确、全面贯彻新发展理念,MAR1071_习近平新时代中国特色社会主义思想概论,113,119,
MAR1071,习近平新时代中国特色社会主义思想概论,推动高质量发展,坚持和完善社会主义基本经济制度,MAR1071_习近平新时代中国特色社会主义思想概论,119,125,
MAR1071,习近平新时代中国特色社会主义思想概论,推动高质量发展,加快构建新发展格局,MAR1071_习近平新时代中国特色社会主义思想概论,125,129,
MAR1071,习近平新时代中国特色社会主义思想概论,推动高质量发展,建设现代化经济体系,MAR1071_习近平新时代中国特色社会主义思想概论,129,134,
MAR1071,习近平新时代中国特色社会主义思想概论,社会主义现代化建设的教育、科技、人才战略,全面建设社会主义现代化的基础性、战略性支撑,MAR1071_习近平新时代中国特色社会主义思想概论,136,140,
MAR1071,习近平新时代中国特色社会主义思想概论,社会主义现代化建设的教育、科技、人才战略,加快建设教育强国,MAR1071_习近平新时代中国特色社会主义思想概论,140,146,
MAR1071,习近平新时代中国特色社会主义思想概论,社会主义现代化建设的教育、科技、人才战略,加快建设科技强国,MAR1071_习近平新时代中国特色社会主义思想概论,146,151,
MAR1071,习近平新时代中国特色社会主义思想概论,社会主义现代化建设的教育、科技、人才战略,加快建设人才强国,MAR1071_习近平新时代中国特色社会主义思想概论,151,156,
MAR1071,习近平新时代中国特色社会主义思想概论,发展全过程人民民主,坚定中国特色社会主义政治制度自信,MAR1071_习近平新时代中国特色社会主义思想概论,157,164,
MAR1071,习近平新时代中国特色社会主义思想概论,发展全过程人民民主,全过程人民民主是社会主义民主政治的本质属性,MAR1071_习近平新时代中国特色社会主义思想概论,164,169,
MAR1071,习近平新时代中国特色社会主义思想概论,发展全过程人民民主,健全人民当家作主的制度体系,MAR1071_习近平新时代中国特色社会主义思想概论,169,174,
