课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1441,软件需求分析（双语）,软件需求的本质,软件需求的定义,INF1441_软件需求分析（双语）,30,31,
INF1441,软件需求分析（双语）,软件需求的本质,需求的层次和种类,INF1441_软件需求分析（双语）,31,39,
INF1441,软件需求分析（双语）,软件需求的本质,需求开发和管理,INF1441_软件需求分析（双语）,39,42,
INF1441,软件需求分析（双语）,软件需求的本质,每个项目都有需求,INF1441_软件需求分析（双语）,42,43,
INF1441,软件需求分析（双语）,软件需求的本质,人对了，得出的需求却很糟糕,INF1441_软件需求分析（双语）,43,47,
INF1441,软件需求分析（双语）,从客户角度审视需求,期望落差,INF1441_软件需求分析（双语）,48,49,
INF1441,软件需求分析（双语）,从客户角度审视需求,谁是客户,INF1441_软件需求分析（双语）,49,51,
INF1441,软件需求分析（双语）,从客户角度审视需求,客户-开发的合作关系,INF1441_软件需求分析（双语）,51,53,
INF1441,软件需求分析（双语）,从客户角度审视需求,建立尊重需求的企业文化,INF1441_软件需求分析（双语）,57,58,
INF1441,软件需求分析（双语）,从客户角度审视需求,识别决策者,INF1441_软件需求分析（双语）,58,59,
INF1441,软件需求分析（双语）,从客户角度审视需求,对需求达成一致,INF1441_软件需求分析（双语）,59,60,
INF1441,软件需求分析（双语）,需求工程优秀实践,需求开发过程框架,INF1441_软件需求分析（双语）,65,67,
INF1441,软件需求分析（双语）,需求工程优秀实践,优秀实践：需求获取活动,INF1441_软件需求分析（双语）,67,69,
INF1441,软件需求分析（双语）,需求工程优秀实践,优秀实践：需求分析,INF1441_软件需求分析（双语）,69,70,
INF1441,软件需求分析（双语）,需求工程优秀实践,优秀实践：需求规范说明,INF1441_软件需求分析（双语）,70,71,
INF1441,软件需求分析（双语）,需求工程优秀实践,优秀实践：需求验证,INF1441_软件需求分析（双语）,71,72,
INF1441,软件需求分析（双语）,需求工程优秀实践,优秀实践：知识管理,INF1441_软件需求分析（双语）,74,75,
INF1441,软件需求分析（双语）,需求工程优秀实践,优秀实践：项目管理,INF1441_软件需求分析（双语）,75,76,
INF1441,软件需求分析（双语）,需求工程优秀实践,开始新的实践,INF1441_软件需求分析（双语）,76,78,
INF1441,软件需求分析（双语）,业务分析师,业务分析师的角色,INF1441_软件需求分析（双语）,79,80,
INF1441,软件需求分析（双语）,业务分析师,业务分析师的职责,INF1441_软件需求分析（双语）,80,81,
INF1441,软件需求分析（双语）,业务分析师,基本的分析技巧,INF1441_软件需求分析（双语）,81,84,
INF1441,软件需求分析（双语）,业务分析师,基本的分析知识,INF1441_软件需求分析（双语）,84,85,
INF1441,软件需求分析（双语）,业务分析师,业务分析师的培养,INF1441_软件需求分析（双语）,85,88,
INF1441,软件需求分析（双语）,业务分析师,敏捷项目中的分析师角色,INF1441_软件需求分析（双语）,88,89,
INF1441,软件需求分析（双语）,业务分析师,打造一个协作型的团队,INF1441_软件需求分析（双语）,89,92,
INF1441,软件需求分析（双语）,建立业务需求,定义业务需求,INF1441_软件需求分析（双语）,92,93,
INF1441,软件需求分析（双语）,建立业务需求,愿景和范围文档,INF1441_软件需求分析（双语）,96,105,
INF1441,软件需求分析（双语）,建立业务需求,范围表示技巧,INF1441_软件需求分析（双语）,105,106,
INF1441,软件需求分析（双语）,建立业务需求,聚焦于范围,INF1441_软件需求分析（双语）,110,111,
INF1441,软件需求分析（双语）,建立业务需求,敏捷项目的愿景和范围,INF1441_软件需求分析（双语）,111,112,
INF1441,软件需求分析（双语）,建立业务需求,使用业务目标来确定完成,INF1441_软件需求分析（双语）,112,114,
INF1441,软件需求分析（双语）,倾听用户的心声,用户类别,INF1441_软件需求分析（双语）,115,117,
INF1441,软件需求分析（双语）,倾听用户的心声,用户画像,INF1441_软件需求分析（双语）,119,120,
INF1441,软件需求分析（双语）,倾听用户的心声,与用户代表取得联系,INF1441_软件需求分析（双语）,120,121,
INF1441,软件需求分析（双语）,倾听用户的心声,产品代言人,INF1441_软件需求分析（双语）,121,125,
INF1441,软件需求分析（双语）,倾听用户的心声,敏捷项目的用户表达方式,INF1441_软件需求分析（双语）,127,128,
INF1441,软件需求分析（双语）,倾听用户的心声,处理需求冲突,INF1441_软件需求分析（双语）,128,130,
INF1441,软件需求分析（双语）,需求获取,需求获取技巧,INF1441_软件需求分析（双语）,131,132,
INF1441,软件需求分析（双语）,需求获取,制定项目需求获取计划,INF1441_软件需求分析（双语）,139,141,
INF1441,软件需求分析（双语）,需求获取,准备需求获取,INF1441_软件需求分析（双语）,141,142,
INF1441,软件需求分析（双语）,需求获取,执行获取活动,INF1441_软件需求分析（双语）,142,144,
INF1441,软件需求分析（双语）,需求获取,需求获取后的跟进,INF1441_软件需求分析（双语）,144,145,
INF1441,软件需求分析（双语）,需求获取,对客户的输入进行分类,INF1441_软件需求分析（双语）,145,148,
INF1441,软件需求分析（双语）,需求获取,如何知道已经完成,INF1441_软件需求分析（双语）,148,149,
INF1441,软件需求分析（双语）,需求获取,需求获取的注意事项,INF1441_软件需求分析（双语）,149,150,
INF1441,软件需求分析（双语）,需求获取,假设的需求和隐喻的需求,INF1441_软件需求分析（双语）,150,152,
INF1441,软件需求分析（双语）,需求获取,找出遗漏的需求,INF1441_软件需求分析（双语）,150,152,
INF1441,软件需求分析（双语）,理解用户需求,用例和用户故事,INF1441_软件需求分析（双语）,153,156,
INF1441,软件需求分析（双语）,理解用户需求,用例方法,INF1441_软件需求分析（双语）,156,158,
INF1441,软件需求分析（双语）,理解用户需求,“以使用为中心”的需求有何好处,INF1441_软件需求分析（双语）,170,172,
INF1441,软件需求分析（双语）,照章办事,业务规则分类法,INF1441_软件需求分析（双语）,173,174,
INF1441,软件需求分析（双语）,照章办事,记录业务规划,INF1441_软件需求分析（双语）,178,181,
INF1441,软件需求分析（双语）,照章办事,发现业务规划,INF1441_软件需求分析（双语）,181,182,
INF1441,软件需求分析（双语）,照章办事,业务规划与需求,INF1441_软件需求分析（双语）,182,183,
INF1441,软件需求分析（双语）,照章办事,把一切串起来,INF1441_软件需求分析（双语）,183,185,
INF1441,软件需求分析（双语）,记录需求,软件需求规范说明,INF1441_软件需求分析（双语）,187,189,
INF1441,软件需求分析（双语）,记录需求,软件需求规范说明模板,INF1441_软件需求分析（双语）,193,201,
INF1441,软件需求分析（双语）,记录需求,敏捷项目的需求规范说明,INF1441_软件需求分析（双语）,201,203,
INF1441,软件需求分析（双语）,写出优秀的需求,优秀需求的特点,INF1441_软件需求分析（双语）,203,204,
INF1441,软件需求分析（双语）,写出优秀的需求,需求编写指南,INF1441_软件需求分析（双语）,206,207,
INF1441,软件需求分析（双语）,写出优秀的需求,改进前后的需求示例,INF1441_软件需求分析（双语）,217,221,
INF1441,软件需求分析（双语）,一图胜千言,需求建模,INF1441_软件需求分析（双语）,222,223,
INF1441,软件需求分析（双语）,一图胜千言,从客户需求到分析模型,INF1441_软件需求分析（双语）,223,224,
INF1441,软件需求分析（双语）,一图胜千言,选择正确的表达方式,INF1441_软件需求分析（双语）,224,226,
INF1441,软件需求分析（双语）,一图胜千言,数据流图,INF1441_软件需求分析（双语）,226,229,
INF1441,软件需求分析（双语）,一图胜千言,泳道图,INF1441_软件需求分析（双语）,229,231,
INF1441,软件需求分析（双语）,一图胜千言,状态转换图和状态表,INF1441_软件需求分析（双语）,231,234,
INF1441,软件需求分析（双语）,一图胜千言,对话图,INF1441_软件需求分析（双语）,234,237,
INF1441,软件需求分析（双语）,一图胜千言,判定表和判定树,INF1441_软件需求分析（双语）,237,238,
INF1441,软件需求分析（双语）,一图胜千言,事件-响应表,INF1441_软件需求分析（双语）,238,241,
INF1441,软件需求分析（双语）,一图胜千言,小议UML图,INF1441_软件需求分析（双语）,241,241,
INF1441,软件需求分析（双语）,一图胜千言,敏捷项目中的需求建模,INF1441_软件需求分析（双语）,241,242,
INF1441,软件需求分析（双语）,一图胜千言,最后提示,INF1441_软件需求分析（双语）,242,243,
INF1441,软件需求分析（双语）,具体指定数据需求,对数据关系进行建模,INF1441_软件需求分析（双语）,243,246,
INF1441,软件需求分析（双语）,具体指定数据需求,数据字典,INF1441_软件需求分析（双语）,246,249,
INF1441,软件需求分析（双语）,具体指定数据需求,数据分析,INF1441_软件需求分析（双语）,249,250,
INF1441,软件需求分析（双语）,具体指定数据需求,报表的规范说明,INF1441_软件需求分析（双语）,250,251,
INF1441,软件需求分析（双语）,具体指定数据需求,仪表盘报表,INF1441_软件需求分析（双语）,255,258,
INF1441,软件需求分析（双语）,功能需求以外,软件质量属性,INF1441_软件需求分析（双语）,259,260,
INF1441,软件需求分析（双语）,功能需求以外,探究质量属性,INF1441_软件需求分析（双语）,260,264,
INF1441,软件需求分析（双语）,功能需求以外,定义质量需求,INF1441_软件需求分析（双语）,264,276,
INF1441,软件需求分析（双语）,功能需求以外,用Planguage指定质量需求,INF1441_软件需求分析（双语）,281,283,
INF1441,软件需求分析（双语）,功能需求以外,质量属性的平衡,INF1441_软件需求分析（双语）,283,284,
INF1441,软件需求分析（双语）,功能需求以外,质量属性需求的实现,INF1441_软件需求分析（双语）,284,285,
INF1441,软件需求分析（双语）,功能需求以外,约束条件,INF1441_软件需求分析（双语）,285,286,
INF1441,软件需求分析（双语）,功能需求以外,如何处理敏捷项目的质量属性,INF1441_软件需求分析（双语）,286,289,
INF1441,软件需求分析（双语）,通过原型来减少风险,原型的定义及其动机,INF1441_软件需求分析（双语）,290,291,
INF1441,软件需求分析（双语）,通过原型来减少风险,实物原型和概念证明,INF1441_软件需求分析（双语）,291,292,
INF1441,软件需求分析（双语）,通过原型来减少风险,抛弃原型和演化性原型,INF1441_软件需求分析（双语）,292,295,
INF1441,软件需求分析（双语）,通过原型来减少风险,纸上原型和电子原型,INF1441_软件需求分析（双语）,295,296,
INF1441,软件需求分析（双语）,通过原型来减少风险,原型的使用,INF1441_软件需求分析（双语）,296,299,
INF1441,软件需求分析（双语）,通过原型来减少风险,原型的评估,INF1441_软件需求分析（双语）,299,300,
INF1441,软件需求分析（双语）,通过原型来减少风险,原型风险,INF1441_软件需求分析（双语）,300,301,
INF1441,软件需求分析（双语）,通过原型来减少风险,原型成功的因素,INF1441_软件需求分析（双语）,302,304,
INF1441,软件需求分析（双语）,要事优先：设定需求优先级,为什么要排优先级,INF1441_软件需求分析（双语）,305,306,
INF1441,软件需求分析（双语）,要事优先：设定需求优先级,优先级排序实践,INF1441_软件需求分析（双语）,306,307,
INF1441,软件需求分析（双语）,要事优先：设定需求优先级,人与优先级之间的博弈,INF1441_软件需求分析（双语）,307,308,
INF1441,软件需求分析（双语）,要事优先：设定需求优先级,确定优先级的技术,INF1441_软件需求分析（双语）,308,309,
INF1441,软件需求分析（双语）,要事优先：设定需求优先级,根据价值、成本和风险排优先级,INF1441_软件需求分析（双语）,312,313,
INF1441,软件需求分析（双语）,确认需求,确认与验证,INF1441_软件需求分析（双语）,320,320,
INF1441,软件需求分析（双语）,确认需求,需求评审,INF1441_软件需求分析（双语）,320,328,
INF1441,软件需求分析（双语）,确认需求,需求原型,INF1441_软件需求分析（双语）,329,330,
INF1441,软件需求分析（双语）,确认需求,需求测试,INF1441_软件需求分析（双语）,330,334,
INF1441,软件需求分析（双语）,确认需求,使用验收条件确认需求,INF1441_软件需求分析（双语）,334,335,
